B-V;Lum;GrpName
-0.141;367.79;Orion Molecular Cloud, ASCC 19, Collinder 70
0.111;12.82;Orion Molecular Cloud, Collinder 70
-0.027;114.4;Orion Molecular Cloud, Collinder 70
-0.02;31.27;Orion Molecular Cloud, Collinder 70
-0.061;79.11;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
-0.075;135.34;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.136;248.99;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.087;116.53;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
-0.173;1060.27;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, Briceno 1
0.168;14.43;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
0.035;44.68;Orion Molecular Cloud, ASCC 19, Collinder 70
0.34;20.01;Orion Molecular Cloud, Collinder 70
-0.07;52.8;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.026;27.67;Orion Molecular Cloud, Collinder 70
0.83;0.42;AB Doradus
-0.152;507.48;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16, Briceno 1
-0.077;251.97;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16, Briceno 1
-0.093;98.96;Orion Molecular Cloud, Collinder 70
-0.041;102.18;Orion Molecular Cloud, Collinder 70, Running Man
0.646;1.89;Tucana / Horologium
-0.112;534.5;Orion Molecular Cloud, Collinder 70
0.137;22.9;Orion Molecular Cloud, Collinder 70
-0.192;2481.13;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16, Briceno 1
-0.11;97.86;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
-0.052;128.43;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.062;53.95;Orion Molecular Cloud, Collinder 70
-0.194;1920.85;Orion Molecular Cloud, Collinder 70
-0.061;82.69;Orion Molecular Cloud, Collinder 70
0.082;38.64;Orion Molecular Cloud, Collinder 70
0.071;57.7;Orion Molecular Cloud, Collinder 70, NGC 1980
-0.099;175.38;Orion Molecular Cloud, Collinder 69
0.507;16.67;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula
-0.143;213.44;Orion Molecular Cloud, Collinder 70
0.746;19.32;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
0.122;7.61;Orion Molecular Cloud, Collinder 69
-0.178;1737.66;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
0.079;64.92;Orion Molecular Cloud, Collinder 70
-0.129;204.73;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
-0.122;189.11;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
-0.108;198.84;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
1.308;524.21;Orion Molecular Cloud, Collinder 70
0.018;18.71;Orion Molecular Cloud, Collinder 70, Running Man
0.401;9.14;Orion Molecular Cloud, Collinder 70
-0.175;39340.14;Orion Molecular Cloud, ASCC 18/20, ASCC 21, ASCC 19, Collinder 70
-0.083;228.87;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
0.047;68.09;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
0.02;20.57;Orion Molecular Cloud, Collinder 70
-0.084;92.24;Orion Molecular Cloud, Collinder 70, Orion Nebula, NGC 1980
-0.001;52.81;Orion Molecular Cloud, Collinder 69
-0.07;56.85;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
-0.188;3288.22;Orion Molecular Cloud, Collinder 70
-0.006;169.49;Orion Molecular Cloud, Collinder 70, Orion Nebula, NGC 1980
-0.033;79.83;Orion Molecular Cloud, Collinder 70
-0.1;44.28;Orion Molecular Cloud, Collinder 70
-0.039;64.64;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
-0.1;181.02;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
0.008;43.69;Orion Molecular Cloud, Collinder 70
-0.109;108.78;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
0.031;26.9;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
-0.175;3001.92;Orion Molecular Cloud, Collinder 70
0.99;0.63;Beta Pictoris
-0.039;61.86;Orion Molecular Cloud, Collinder 70
-0.174;857.46;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
-0.16;943.15;Orion Molecular Cloud, Collinder 70
0.074;56.7;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
-0.158;609.95;Orion Molecular Cloud, Collinder 70
0.002;77.01;Orion Molecular Cloud, Collinder 70
-0.058;52.47;Orion Molecular Cloud, Collinder 70
-0.012;27.18;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
-0.009;42.32;Orion Molecular Cloud, Collinder 70
0.017;51.48;Orion Molecular Cloud, Collinder 70
-0.157;5346.45;Orion Molecular Cloud, Collinder 69
-0.228;5360.63;Orion Molecular Cloud, Collinder 70, NGC 1981, Running Man, Orion Nebula, NGC 1980
-0.248;12013.46;Orion Molecular Cloud, Collinder 70, NGC 1981, Running Man, Orion Nebula, NGC 1980
-0.16;13338.2;Orion Molecular Cloud, Collinder 69
-0.116;217.26;Orion Molecular Cloud, ASCC 18/20, ASCC 21, ASCC 19, Collinder 70
-0.133;624.61;Orion Molecular Cloud, Collinder 69
-0.107;334.64;Orion Molecular Cloud, Collinder 70
-0.051;66.23;Orion Molecular Cloud, Collinder 70
0.08;692.87;NGC 1980
-0.142;676.85;Orion Molecular Cloud, Collinder 70, NGC 1981, Running Man, Orion Nebula, NGC 1980
-0.148;934.41;Orion Molecular Cloud, Collinder 70, NGC 1981, Orion Nebula, NGC 1980
-0.097;3604.47;NGC 1981, Orion Nebula
-0.21;59920.97;Orion Molecular Cloud, Collinder 70, NGC 1981, Running Man, Orion Nebula, NGC 1980
0.184;234.1;Orion Molecular Cloud, Collinder 70, NGC 1981, Running Man, Orion Nebula, NGC 1980
-0.122;731.48;Orion Molecular Cloud, ASCC 19, Collinder 70, Sigma Orionis, Running Man, Orion Nebula
